"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLITRK6",8.86364655089225e-214,2.66144437941707,0.978,0.387,1.87279987973802e-209
"CRISP3",5.45750440909644e-209,3.81449480547567,1,0.848,1.15311610659799e-204
"S100A13",7.56288636741186e-190,1.11450887080337,1,1,1.59796226057045e-185
"S100A11",3.43038733651475e-182,0.838114233836949,1,1,7.24806540332201e-178
"C6orf141",3.18249505703719e-180,2.06201882013828,0.958,0.434,6.72429380601388e-176
"CSTA",1.28337236189392e-172,-1.84015602343824,0.966,0.999,2.71163746344566e-168
"S100A16",1.67634857043928e-171,0.950877269393577,1,0.999,3.54195689448116e-167
"KRT8",6.71731115739121e-168,0.798854817959263,1,1,1.41930067444519e-163
"ADIRF",6.22267044346886e-165,-0.967648566407916,1,1,1.31478803800054e-160
"ERLIN2",1.549961912396e-163,-1.36331735698091,0.927,0.999,3.27491452470151e-159
"S100G",2.46183773930369e-160,-2.46912606347183,0.726,0.995,5.20161695937477e-156
"KRT18",2.6241561444572e-159,0.604911073737751,1,1,5.54457951762362e-155
"SERHL2",1.1588672618569e-157,1.54736130591363,0.998,0.945,2.44857063757745e-153
"PSMA6",1.17536393841697e-157,1.0560799921318,1,0.997,2.48342646548121e-153
"TBC1D9",2.04097576268636e-155,-1.35173252811982,0.914,0.999,4.31237768898002e-151
"H3F3A",2.28939374592142e-155,0.741404539956734,1,1,4.83726004575737e-151
"ABHD2",8.94377860745173e-153,-1.64465580671717,0.782,0.995,1.88973098196848e-148
"FCGRT",2.64420851567665e-152,-1.45341687125822,0.858,0.997,5.58694817277319e-148
"RPL8",1.1677422844577e-149,0.584042252632637,1,1,2.46732267283066e-145
"BAMBI",3.1386693623693e-149,-1.11143004574861,1,1,6.63169449575009e-145
"SNCG",3.97077732721546e-148,-1.79989888319779,0.384,0.94,8.38985541467355e-144
"NUPR1",5.02059655641907e-147,0.954292813848935,1,1,1.06080184640579e-142
"CRISP2",6.93143637940584e-147,0.987050238706426,0.663,0.084,1.46454319260466e-142
